idx,name,r,g,b,a,VIS,MSH
0,Clear Label,0,0,0,1.0,1.0,1.0
184,Frontal association cortex,112,255,113,1.0,1.0,1.0
68,"Frontal pole, layer 1",121,161,59,1.0,1.0,1.0
667,"Frontal pole, layer 2/3",132,165,74,1.0,1.0,1.0
2325,"Frontal pole, layer 5",132,165,74,1.0,1.0,1.0
320,Primary motor cortex Layer 1,45,161,79,1.0,1.0,1.0
943,Primary motor cortex Layer 2/3,73,166,99,1.0,1.0,1.0
648,Primary motor cortex Layer 5,94,172,111,1.0,1.0,1.0
844,Primary motor cortex Layer 6a,120,188,130,1.0,1.0,1.0
882,Primary motor cortex Layer 6b,143,196,143,1.0,1.0,1.0
2334,"Frontal cortex, area 3, layer1",132,165,74,1.0,1.0,1.0
2335,"Frontal cortex, area 3, layer2/3",132,165,74,1.0,1.0,1.0
2336,"Frontal cortex, area 3, layer5",132,165,74,1.0,1.0,1.0
2337,"Frontal cortex, area 3, layer6a",132,165,74,1.0,1.0,1.0
2351,"Frontal cortex, area 3, layer6b",132,165,74,1.0,1.0,1.0
656,"Secondary motor cortex, layer 1",63,147,68,1.0,1.0,1.0
962,"Secondary motor cortex, layer 2/3",83,152,86,1.0,1.0,1.0
767,"Secondary motor cortex, layer 5",101,157,97,1.0,1.0,1.0
1021,"Secondary motor cortex, layer 6a",129,174,115,1.0,1.0,1.0
1085,"Secondary motor cortex, layer 6b",139,178,127,1.0,1.0,1.0
793,Primary somatosensory cortex layer 1,0,177,92,1.0,1.0,1.0
346,Primary somatosensory cortex layer 2/3,67,185,112,1.0,1.0,1.0
865,Primary somatosensory cortex layer 4,93,191,126,1.0,1.0,1.0
921,Primary somatosensory cortex layer 5,116,197,139,1.0,1.0,1.0
686,Primary somatosensory cortex layer 6a,138,204,153,1.0,1.0,1.0
719,Primary somatosensory cortex layer 6b,163,213,170,1.0,1.0,1.0
2339,"Primary somatosensory area, jaw, layer 1",163,213,170,1.0,1.0,1.0
2340,"Primary somatosensory area, jaw, layer 2/3",163,213,170,1.0,1.0,1.0
2341,"Primary somatosensory area, jaw, layer 4",163,213,170,1.0,1.0,1.0
2342,"Primary somatosensory area, jaw, layer 5",163,213,170,1.0,1.0,1.0
2343,"Primary somatosensory area, jaw, layer 6a",163,213,170,1.0,1.0,1.0
2344,"Primary somatosensory area, jaw, layer 6b",163,213,170,1.0,1.0,1.0
981,"Primary somatosensory cortex, barrel field, layer 1",0,178,156,1.0,1.0,1.0
201,"Primary somatosensory cortex, barrel field, layer 2/3",19,186,171,1.0,1.0,1.0
1047,"Primary somatosensory cortex, barrel field, layer 4",66,191,179,1.0,1.0,1.0
1070,"Primary somatosensory cortex, barrel field, layer 5 ",93,197,188,1.0,1.0,1.0
1038,"Primary somatosensory cortex, barrel field, layer 6a",117,203,197,1.0,1.0,1.0
1062,"Primary somatosensory cortex, barrel field, layer 6b",143,211,208,1.0,1.0,1.0
1030,"Primary somatosensory cortex, hindlimb region, layer 1",0,177,142,1.0,1.0,1.0
113,"Primary somatosensory cortex, hindlimb region, layer 2/3",0,183,155,1.0,1.0,1.0
1094,"Primary somatosensory cortex, hindlimb region, layer 4",69,191,171,1.0,1.0,1.0
1128,"Primary somatosensory cortex, hindlimb region, layer 5",96,196,179,1.0,1.0,1.0
478,"Primary somatosensory cortex, hindlimb region, layer 6a",119,202,188,1.0,1.0,1.0
510,"Primary somatosensory cortex, hindlimb region, layer 6b",145,211,198,1.0,1.0,1.0
878,"Primary somatosensory cortex, upper lip region, layer 1",0,173,94,1.0,1.0,1.0
657,"Primary somatosensory cortex, upper lip region, layer 2/3",20,180,107,1.0,1.0,1.0
950,"Primary somatosensory cortex, upper lip region, layer 4",66,185,120,1.0,1.0,1.0
974,"Primary somatosensory cortex, upper lip region, layer 5",92,191,133,1.0,1.0,1.0
1102,"Primary somatosensory cortex, upper lip region, layer 6a",115,197,146,1.0,1.0,1.0
2,"Primary somatosensory cortex, upper lip region, layer 6b",137,205,161,1.0,1.0,1.0
2287,"Primary somatosensory cortex, dysgranular zone 1",112,255,121,1.0,1.0,1.0
2288,"Primary somatosensory cortex, dysgranular zone 2/3",112,255,121,1.0,1.0,1.0
2289,"Primary somatosensory cortex, dysgranular zone 4",112,255,121,1.0,1.0,1.0
2290,"Primary somatosensory cortex, dysgranular zone 5",112,255,121,1.0,1.0,1.0
2291,"Primary somatosensory cortex, dysgranular zone 6a",112,255,121,1.0,1.0,1.0
2292,"Primary somatosensory cortex, dysgranular zone 6b",112,255,121,1.0,1.0,1.0
2353,"Primary somatosensory cortex, oral dysgranular zone 1",112,255,121,1.0,1.0,1.0
2354,"Primary somatosensory cortex, oral dysgranular zone 2/3",112,255,121,1.0,1.0,1.0
2355,"Primary somatosensory cortex, oral dysgranular zone 4",112,255,121,1.0,1.0,1.0
2356,"Primary somatosensory cortex, oral dysgranular zone 5",112,255,121,1.0,1.0,1.0
2357,"Primary somatosensory cortex, oral dysgranular zone 6a",112,255,121,1.0,1.0,1.0
2358,"Primary somatosensory cortex, oral dysgranular zone 6b",112,255,121,1.0,1.0,1.0
2310,"Primary somatosensory cortex, shoulder region 1",112,255,121,1.0,1.0,1.0
2311,"Primary somatosensory cortex, shoulder region 2/3",112,255,121,1.0,1.0,1.0
2312,"Primary somatosensory cortex, shoulder region 4",112,255,121,1.0,1.0,1.0
2313,"Primary somatosensory cortex, shoulder region 5",112,255,121,1.0,1.0,1.0
2314,"Primary somatosensory cortex, shoulder region 6a",112,255,121,1.0,1.0,1.0
2315,"Primary somatosensory cortex, shoulder region 6b",112,255,121,1.0,1.0,1.0
450,"Primary somatosensory cortex, forelimb region, layer 1",0,174,103,1.0,1.0,1.0
854,"Primary somatosensory cortex, forelimb region, layer 2/3",46,183,120,1.0,1.0,1.0
577,"Primary somatosensory cortex, forelimb region, layer 4",79,188,133,1.0,1.0,1.0
625,"Primary somatosensory cortex, forelimb region, layer 5",103,194,147,1.0,1.0,1.0
945,"Primary somatosensory cortex, forelimb region, layer 6a",114,198,154,1.0,1.0,1.0
1026,"Primary somatosensory cortex, forelimb region, layer 6b",124,201,162,1.0,1.0,1.0
1006,"Primary somatosensory cortex, trunk region, layer 1",0,179,171,1.0,1.0,1.0
670,"Primary somatosensory cortex, trunk region, layer 2/3",0,185,179,1.0,1.0,1.0
1086,"Primary somatosensory cortex, trunk region, layer 4",63,192,187,1.0,1.0,1.0
1111,"Primary somatosensory cortex, trunk region, layer 5",91,197,197,1.0,1.0,1.0
