idx,name,r,g,b,a,VIS,MSH
0,Clear Label,0,0,0,1.0,1.0,1.0
1,corticofugal tract and corona radiata,255,52,39,1.0,1.0,0.0
3,Subthalamic nucleus,0,0,255,1.0,1.0,0.0
4,Molecular cell layer of the cerebellum,255,255,1,1.0,1.0,0.0
5,"Cerebellum, unspecified",0,255,255,1.0,1.0,0.0
6,alveus of the hippocampus,255,0,255,1.0,1.0,0.0
7,inferior cerebellar peduncle,52,255,13,1.0,1.0,0.0
10,Cingulate area 2,29,104,235,1.0,1.0,0.0
32,Entopeduncular nucleus,26,231,255,1.0,1.0,0.0
33,"Ventricular system, unspecified",2,44,255,1.0,1.0,0.0
34,"medial lemniscus, unspecified",212,255,0,1.0,1.0,0.0
35,"facial nerve, unspecified",255,25,240,1.0,1.0,0.0
36,"anterior commissure, anterior limb",124,252,0,1.0,1.0,0.0
37,"anterior commissure, posterior limb",255,186,0,1.0,1.0,0.0
38,ventral hippocampal commissure,174,0,232,1.0,1.0,0.0
40,Septal region,255,8,0,1.0,1.0,0.0
41,optic nerve,48,218,0,1.0,1.0,0.0
42,optic tract and optic chiasm,38,126,255,1.0,1.0,0.0
43,Pineal gland,218,170,62,1.0,1.0,0.0
45,Spinal cord,134,255,90,1.0,1.0,0.0
46,commissure of the superior colliculus,33,230,255,1.0,1.0,0.0
47,"Brainstem, unspecified",153,83,255,1.0,1.0,0.0
48,"Hypothalamic region, unspecified",226,120,161,1.0,1.0,0.0
50,Superficial gray layer of the superior colliculus,86,0,221,1.0,1.0,0.0
51,Periaqueductal gray,7,255,89,1.0,1.0,0.0
52,fornix,21,192,255,1.0,1.0,0.0
53,mammillotegmental tract,238,186,0,1.0,1.0,0.0
54,commissural stria terminalis,173,255,47,1.0,1.0,0.0
55,Deeper layers of the superior colliculus,225,151,15,1.0,1.0,0.0
56,Periventricular gray,235,87,255,1.0,1.0,0.0
57,genu of the facial nerve,250,244,247,1.0,1.0,0.0
58,Pontine nuclei,0,215,11,1.0,1.0,0.0
59,fimbria of the hippocampus,0,255,29,1.0,1.0,0.0
60,fasciculus retroflexus,244,67,69,1.0,1.0,0.0
61,stria medullaris thalami,0,255,0,1.0,1.0,0.0
62,stria terminalis,238,117,51,1.0,1.0,0.0
63,posterior commissure,255,0,218,1.0,1.0,0.0
64,Glomerular layer of the accessory olfactory bulb,15,109,230,1.0,1.0,0.0
65,Glomerular layer of the olfactory bulb,255,227,0,1.0,1.0,0.0
66,"Olfactory bulb, unspecified",255,135,0,1.0,1.0,0.0
67,corpus callosum and associated subcortical white matter,255,110,0,1.0,1.0,0.0
68,brachium of the superior colliculus,188,32,173,1.0,1.0,0.0
69,"inferior colliculus, commissure",255,42,39,1.0,1.0,0.0
70,Central canal,39,244,253,1.0,1.0,0.0
71,Interpeduncular nucleus,63,192,255,1.0,1.0,0.0
72,ascending fibers of the facial nerve,179,28,53,1.0,1.0,0.0
73,"anterior commissure, intrabulbar part",255,79,206,1.0,1.0,0.0
74,Inferior olive,0,246,14,1.0,1.0,0.0
75,Spinal trigeminal nucleus,91,241,255,1.0,1.0,0.0
76,spinal trigeminal tract,250,128,114,1.0,1.0,0.0
77,Frontal association cortex,206,211,7,1.0,1.0,0.0
78,middle cerebellar peduncle,134,204,76,1.0,1.0,0.0
79,transverse fibers of the pons,128,170,255,1.0,1.0,0.0
80,habenular commissure,69,235,202,1.0,1.0,0.0
81,Nucleus of the stria medullaris,222,7,237,1.0,1.0,0.0
82,"Basal forebrain region, unspecified",225,240,13,1.0,1.0,0.0
83,supraoptic decussation,250,170,64,1.0,1.0,0.0
84,medial lemniscus decussation,65,150,255,1.0,1.0,0.0
85,pyramidal decussation,114,9,212,1.0,1.0,0.0
93,Bed nucleus of the stria terminalis,0,8,182,1.0,1.0,0.0
94,Pretectal region,255,87,30,1.0,1.0,0.0
95,Cornu ammonis 3,165,131,107,1.0,1.0,0.0
96,Dentate gyrus,91,45,10,1.0,1.0,0.0
97,Cornu ammonis 2,255,255,0,1.0,1.0,0.0
