idx,name,r,g,b,a,VIS,MSH
0,Clear Label,0,0,0,1.0,1.0,1.0
997,root,255,255,255,1.0,1.0,1.0
8,Basic cell groups and regions,191,218,227,1.0,1.0,1.0
567,Cerebrum,176,240,255,1.0,1.0,1.0
688,Cerebral cortex,176,255,184,1.0,1.0,1.0
695,Cortical plate,112,255,112,1.0,1.0,1.0
315,Isocortex,112,255,113,1.0,1.0,1.0
184,"Frontal pole, cerebral cortex",38,143,69,1.0,1.0,1.0
68,"Frontal pole, layer 1",38,143,69,1.0,1.0,1.0
667,"Frontal pole, layer 2/3",38,143,69,1.0,1.0,1.0
526157192,"Frontal pole, layer 5",38,143,69,1.0,1.0,1.0
526157196,"Frontal pole, layer 6a",38,143,69,1.0,1.0,1.0
526322264,"Frontal pole, layer 6b",38,143,69,1.0,1.0,1.0
500,Somatomotor areas,31,157,90,1.0,1.0,1.0
107,"Somatomotor areas, Layer 1",31,157,90,1.0,1.0,1.0
219,"Somatomotor areas, Layer 2/3",31,157,90,1.0,1.0,1.0
299,"Somatomotor areas, Layer 5",31,157,90,1.0,1.0,1.0
644,"Somatomotor areas, Layer 6a",31,157,90,1.0,1.0,1.0
947,"Somatomotor areas, Layer 6b",31,157,90,1.0,1.0,1.0
985,Primary motor area,31,157,90,1.0,1.0,1.0
320,"Primary motor area, Layer 1",31,157,90,1.0,1.0,1.0
943,"Primary motor area, Layer 2/3",31,157,90,1.0,1.0,1.0
648,"Primary motor area, Layer 5",31,157,90,1.0,1.0,1.0
844,"Primary motor area, Layer 6a",31,157,90,1.0,1.0,1.0
882,"Primary motor area, Layer 6b",31,157,90,1.0,1.0,1.0
993,Secondary motor area,31,157,90,1.0,1.0,1.0
656,"Secondary motor area, layer 1",31,157,90,1.0,1.0,1.0
962,"Secondary motor area, layer 2/3",31,157,90,1.0,1.0,1.0
767,"Secondary motor area, layer 5",31,157,90,1.0,1.0,1.0
1021,"Secondary motor area, layer 6a",31,157,90,1.0,1.0,1.0
1085,"Secondary motor area, layer 6b",31,157,90,1.0,1.0,1.0
453,Somatosensory areas,24,128,100,1.0,1.0,1.0
12993,"Somatosensory areas, layer 1",24,128,100,1.0,1.0,1.0
12994,"Somatosensory areas, layer 2/3",24,128,100,1.0,1.0,1.0
12995,"Somatosensory areas, layer 4",24,128,100,1.0,1.0,1.0
12996,"Somatosensory areas, layer 5",24,128,100,1.0,1.0,1.0
12997,"Somatosensory areas, layer 6a",24,128,100,1.0,1.0,1.0
12998,"Somatosensory areas, layer 6b",24,128,100,1.0,1.0,1.0
322,Primary somatosensory area,24,128,100,1.0,1.0,1.0
793,"Primary somatosensory area, layer 1",24,128,100,1.0,1.0,1.0
346,"Primary somatosensory area, layer 2/3",24,128,100,1.0,1.0,1.0
865,"Primary somatosensory area, layer 4",24,128,100,1.0,1.0,1.0
921,"Primary somatosensory area, layer 5",24,128,100,1.0,1.0,1.0
686,"Primary somatosensory area, layer 6a",24,128,100,1.0,1.0,1.0
719,"Primary somatosensory area, layer 6b",24,128,100,1.0,1.0,1.0
353,"Primary somatosensory area, nose",24,128,100,1.0,1.0,1.0
