idx,name,r,g,b,a,VIS,MSH
0,Clear Label,0,0,0,1.0,1.0,1.0
1,descending corticofugal pathways,255,52,39,1.0,1.0,0.0
2,substantia nigra,255,186,0,1.0,1.0,0.0
3,subthalamic nucleus,0,0,255,1.0,1.0,0.0
4,molecular layer of the cerebellum,255,255,0,1.0,1.0,0.0
5,granule cell level of the cerebellum,0,255,255,1.0,1.0,0.0
6,alveus of the hippocampus,255,0,255,1.0,1.0,0.0
7,inferior cerebellar peduncle,52,255,13,1.0,1.0,0.0
10,"cingulate cortex, area 2",29,104,235,1.0,1.0,0.0
30,striatum,129,79,255,1.0,1.0,0.0
31,globus pallidus,255,145,186,1.0,1.0,0.0
32,entopeduncular nucleus,26,231,255,1.0,1.0,0.0
33,ventricular system,2,44,255,1.0,1.0,0.0
34,medial lemniscus,212,255,0,1.0,1.0,0.0
35,facial nerve,255,25,240,1.0,1.0,0.0
36,"anterior commissure, anterior part",124,252,0,1.0,1.0,0.0
37,"anterior commissure, posterior part",255,186,0,1.0,1.0,0.0
38,ventral hippocampal commissure,174,0,232,1.0,1.0,0.0
39,thalamus,0,100,0,1.0,1.0,0.0
40,septal region,255,8,0,1.0,1.0,0.0
41,optic nerve,48,218,0,1.0,1.0,0.0
42,optic tract and optic chiasm,38,126,255,1.0,1.0,0.0
43,pineal gland,218,170,62,1.0,1.0,0.0
44,"inner ear, erroneous",255,255,255,1.0,1.0,0.0
45,spinal cord,134,255,90,1.0,1.0,0.0
46,commissure of the superior colliculus,33,230,255,1.0,1.0,0.0
47,brainstem,153,83,255,1.0,1.0,0.0
48,hypothalamic region,226,120,161,1.0,1.0,0.0
50,superficial gray layer of the superior colliculus,86,0,221,1.0,1.0,0.0
51,periaqueductal gray,7,255,89,1.0,1.0,0.0
52,fornix,21,192,255,1.0,1.0,0.0
53,mammillothalamic tract,238,186,0,1.0,1.0,0.0
54,commissural stria terminalis,173,255,47,1.0,1.0,0.0
55,deeper layers of the superior colliculus,225,151,15,1.0,1.0,0.0
56,periventricular gray,235,87,255,1.0,1.0,0.0
57,genu of the facial nerve,250,244,247,1.0,1.0,0.0
58,pontine nuclei,0,215,11,1.0,1.0,0.0
59,fimbria of the hippocampus,0,255,29,1.0,1.0,0.0
60,fasciculus retroflexus,244,67,69,1.0,1.0,0.0
61,stria medullaris of the thalamus,0,255,0,1.0,1.0,0.0
62,stria terminalis,238,117,51,1.0,1.0,0.0
63,posterior commissure,255,0,218,1.0,1.0,0.0
64,glomerular layer of the accessory olfactory bulb,15,109,230,1.0,1.0,0.0
65,glomerular layer of the olfactory bulb,255,227,0,1.0,1.0,0.0
66,olfactory bulb,255,135,0,1.0,1.0,0.0
67,corpus callosum and associated subcortical white matter,255,110,0,1.0,1.0,0.0
68,brachium of the superior colliculus,188,32,173,1.0,1.0,0.0
69,"inferior colliculus, commissure",255,42,39,1.0,1.0,1.0
70,central canal,39,244,253,1.0,1.0,0.0
71,interpeduncular nucleus,63,192,255,1.0,1.0,0.0
72,ascending fibers of the facial nerve,179,28,53,1.0,1.0,0.0
73,anterior commissure,255,79,206,1.0,1.0,0.0
74,inferior olive,0,246,14,1.0,1.0,0.0
75,spinal trigeminal nucleus,91,241,255,1.0,1.0,0.0
76,spinal trigeminal tract,250,128,114,1.0,1.0,0.0
77,frontal association cortex,206,211,7,1.0,1.0,0.0
78,middle cerebellar peduncle,134,204,76,1.0,1.0,0.0
79,transverse fibers of the pons,128,170,255,1.0,1.0,0.0
80,habenular commissure,69,235,202,1.0,1.0,0.0
81,nucleus of the stria medullaris,222,7,237,1.0,1.0,0.0
82,basal forebrain region,225,240,13,1.0,1.0,0.0
83,supraoptic decussation,250,170,64,1.0,1.0,0.0
84,medial lemniscus decussation,65,150,255,1.0,1.0,0.0
85,pyramidal decussation,114,9,212,1.0,1.0,0.0
92,neocortex,3,193,45,1.0,1.0,0.0
93,bed nucleus of the stria terminalis,0,8,182,1.0,1.0,0.0
94,pretectal region,255,87,30,1.0,1.0,0.0
95,cornu ammonis 3,165,131,107,1.0,1.0,0.0
96,dentate gyrus,91,45,10,1.0,1.0,0.0
97,cornu ammonis 2,255,255,0,1.0,1.0,0.0
98,cornu ammonis 1,217,104,13,1.0,1.0,0.0
99,fasciola cinereum,255,0,0,1.0,1.0,0.0
100,subiculum,255,192,0,1.0,1.0,0.0
108,postrhinal cortex,40,112,130,1.0,1.0,0.0
109,presubiculum,80,123,175,1.0,1.0,0.0
110,parasubiculum,23,54,96,1.0,1.0,0.0
112,perirhinal area 35,205,51,255,1.0,1.0,0.0
113,perirhinal area 36,112,48,160,1.0,1.0,0.0
114,entorhinal cortex,122,187,51,1.0,1.0,0.0
115,lateral entorhinal cortex,90,111,47,1.0,1.0,0.0
119,vestibular apparatus,0,144,55,1.0,1.0,1.0
120,cochlea,0,255,29,1.0,1.0,1.0
121,cochlear nerve,253,148,0,1.0,1.0,1.0
122,vestibular nerve,253,50,0,1.0,1.0,1.0
123,"ventral cochlear nucleus, granule cell layer",0,12,255,1.0,1.0,1.0
125,4th ventricle,52,29,144,1.0,1.0,0.0
126,"dorsal cochlear nucleus, molecular layer",92,156,211,1.0,1.0,1.0
127,"dorsal cochlear nucleus, fusiform and granule layer",0,80,156,1.0,1.0,1.0
