idx,r,g,b,a,VIS,MSH,name
997,255,255,255,1.0,1.0,1.0,root
8,191,218,227,1.0,1.0,1.0,Basic cell groups and regions
567,176,240,255,1.0,1.0,1.0,Cerebrum
688,176,255,184,1.0,1.0,1.0,Cerebral cortex
695,112,255,112,1.0,1.0,1.0,Cortical plate
315,112,255,113,1.0,1.0,1.0,Isocortex
184,38,143,69,1.0,1.0,1.0,"Frontal pole, cerebral cortex"
68,38,143,69,1.0,1.0,1.0,"Frontal pole, layer 1"
667,38,143,69,1.0,1.0,1.0,"Frontal pole, layer 2/3"
500,31,157,90,1.0,1.0,1.0,Somatomotor areas
107,31,157,90,1.0,1.0,1.0,"Somatomotor areas, Layer 1"
219,31,157,90,1.0,1.0,1.0,"Somatomotor areas, Layer 2/3"
299,31,157,90,1.0,1.0,1.0,"Somatomotor areas, Layer 5"
644,31,157,90,1.0,1.0,1.0,"Somatomotor areas, Layer 6a"
947,31,157,90,1.0,1.0,1.0,"Somatomotor areas, Layer 6b"
985,31,157,90,1.0,1.0,1.0,Primary motor area
320,31,157,90,1.0,1.0,1.0,"Primary motor area, Layer 1"
943,31,157,90,1.0,1.0,1.0,"Primary motor area, Layer 2/3"
648,31,157,90,1.0,1.0,1.0,"Primary motor area, Layer 5"
844,31,157,90,1.0,1.0,1.0,"Primary motor area, Layer 6a"
882,31,157,90,1.0,1.0,1.0,"Primary motor area, Layer 6b"
993,31,157,90,1.0,1.0,1.0,Secondary motor area
656,31,157,90,1.0,1.0,1.0,"Secondary motor area, layer 1"
962,31,157,90,1.0,1.0,1.0,"Secondary motor area, layer 2/3"
767,31,157,90,1.0,1.0,1.0,"Secondary motor area, layer 5"
1021,31,157,90,1.0,1.0,1.0,"Secondary motor area, layer 6a"
1085,31,157,90,1.0,1.0,1.0,"Secondary motor area, layer 6b"
453,24,128,100,1.0,1.0,1.0,Somatosensory areas
12993,24,128,100,1.0,1.0,1.0,"Somatosensory areas, layer 1"
12994,24,128,100,1.0,1.0,1.0,"Somatosensory areas, layer 2/3"
12995,24,128,100,1.0,1.0,1.0,"Somatosensory areas, layer 4"
12996,24,128,100,1.0,1.0,1.0,"Somatosensory areas, layer 5"
12997,24,128,100,1.0,1.0,1.0,"Somatosensory areas, layer 6a"
12998,24,128,100,1.0,1.0,1.0,"Somatosensory areas, layer 6b"
322,24,128,100,1.0,1.0,1.0,Primary somatosensory area
793,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, layer 1"
346,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, layer 2/3"
865,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, layer 4"
921,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, layer 5"
686,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, layer 6a"
719,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, layer 6b"
353,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, nose"
558,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, nose, layer 1"
838,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, nose, layer 2/3"
654,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, nose, layer 4"
702,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, nose, layer 5"
889,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, nose, layer 6a"
929,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, nose, layer 6b"
329,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, barrel field"
981,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, barrel field, layer 1"
201,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, barrel field, layer 2/3"
1047,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, barrel field, layer 4"
1070,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, barrel field, layer 5"
1038,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, barrel field, layer 6a"
1062,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, barrel field, layer 6b"
480149202,24,128,100,1.0,1.0,1.0,Rostrolateral lateral visual area
480149206,24,128,100,1.0,1.0,1.0,"Rostrolateral lateral visual area, layer 1"
480149210,24,128,100,1.0,1.0,1.0,"Rostrolateral lateral visual area, layer 2/3"
480149214,24,128,100,1.0,1.0,1.0,"Rostrolateral lateral visual area, layer 4"
480149218,24,128,100,1.0,1.0,1.0,"Rostrolateral lateral visual area,layer 5"
480149222,24,128,100,1.0,1.0,1.0,"Rostrolateral lateral visual area, layer 6a"
480149226,24,128,100,1.0,1.0,1.0,"Rostrolateral lateral visual area, layer 6b"
337,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, lower limb"
1030,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, lower limb, layer 1"
113,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, lower limb, layer 2/3"
1094,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, lower limb, layer 4"
1128,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, lower limb, layer 5"
478,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, lower limb, layer 6a"
510,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, lower limb, layer 6b"
345,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, mouth"
878,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, mouth, layer 1"
657,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, mouth, layer 2/3"
950,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, mouth, layer 4"
974,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, mouth, layer 5"
1102,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, mouth, layer 6a"
2,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, mouth, layer 6b"
369,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, upper limb"
450,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, upper limb, layer 1"
854,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, upper limb, layer 2/3"
577,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, upper limb, layer 4"
625,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, upper limb, layer 5"
945,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, upper limb, layer 6a"
1026,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, upper limb, layer 6b"
361,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, trunk"
1006,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, trunk, layer 1"
670,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, trunk, layer 2/3"
1086,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, trunk, layer 4"
1111,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, trunk, layer 5"
9,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, trunk, layer 6a"
461,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, trunk, layer 6b"
182305689,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, unassigned"
182305693,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, unassigned, layer 1"
182305697,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, unassigned, layer 2/3"
182305701,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, unassigned, layer 4"
182305705,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, unassigned, layer 5"
182305709,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, unassigned, layer 6a"
182305713,24,128,100,1.0,1.0,1.0,"Primary somatosensory area, unassigned, layer 6b"
378,24,128,100,1.0,1.0,1.0,Supplemental somatosensory area
873,24,128,100,1.0,1.0,1.0,"Supplemental somatosensory area, layer 1"
806,24,128,100,1.0,1.0,1.0,"Supplemental somatosensory area, layer 2/3"
1035,24,128,100,1.0,1.0,1.0,"Supplemental somatosensory area, layer 4"
