idx,r,g,b,a,VIS,MSH,label,row
1,97,23,22,1.0,1.0,1.0,TMv,1.0
2,124,100,148,1.0,1.0,1.0,SSp-m6b,2.0
3,45,110,140,1.0,1.0,1.0,sec,3.0
4,87,181,14,1.0,1.0,1.0,IC,4.0
6,11,248,9,1.0,1.0,1.0,int,5.0
7,111,208,94,1.0,1.0,1.0,PSV,6.0
8,9,47,174,1.0,1.0,1.0,grey,7.0
9,162,233,124,1.0,1.0,1.0,SSp-tr6a,8.0
10,55,139,65,1.0,1.0,1.0,SCig,9.0
11,196,102,20,1.0,1.0,1.0,plf,10.0
12,89,55,43,1.0,1.0,1.0,IF,11.0
14,226,85,176,1.0,1.0,1.0,im,12.0
15,23,10,250,1.0,1.0,1.0,PT,13.0
16,237,48,27,1.0,1.0,1.0,6b,14.0
17,197,147,134,1.0,1.0,1.0,SCiw,15.0
18,64,107,196,1.0,1.0,1.0,nf,16.0
19,159,28,70,1.0,1.0,1.0,IG,17.0
20,61,70,91,1.0,1.0,1.0,ENTl2,18.0
21,164,16,39,1.0,1.0,1.0,lotg,19.0
22,135,229,117,1.0,1.0,1.0,PTLp,20.0
23,158,58,212,1.0,1.0,1.0,AAA,21.0
25,232,190,191,1.0,1.0,1.0,sif,22.0
26,13,191,132,1.0,1.0,1.0,SCdg,23.0
27,30,250,64,1.0,1.0,1.0,IGL,24.0
28,37,198,60,1.0,1.0,1.0,ENTl6a,25.0
29,65,80,126,1.0,1.0,1.0,sttl,26.0
30,14,70,220,1.0,1.0,1.0,PVa,27.0
31,234,26,106,1.0,1.0,1.0,ACA,28.0
33,249,90,133,1.0,1.0,1.0,VISp6a,29.0
34,149,96,29,1.0,1.0,1.0,icf,30.0
35,191,86,92,1.0,1.0,1.0,III,31.0
36,193,47,29,1.0,1.0,1.0,GU1,32.0
37,239,115,75,1.0,1.0,1.0,lab,33.0
38,36,221,231,1.0,1.0,1.0,PVH,34.0
39,28,233,97,1.0,1.0,1.0,ACAd,35.0
41,84,162,142,1.0,1.0,1.0,VISpm2/3,36.0
42,2,53,79,1.0,1.0,1.0,SCdw,37.0
43,187,8,16,1.0,1.0,1.0,apf,38.0
44,77,214,145,1.0,1.0,1.0,ILA,39.0
45,189,214,193,1.0,1.0,1.0,SPVOrdm,40.0
46,79,233,75,1.0,1.0,1.0,mfbsma,41.0
47,193,119,121,1.0,1.0,1.0,PVHam,42.0
48,75,115,20,1.0,1.0,1.0,ACAv,43.0
49,58,42,224,1.0,1.0,1.0,ipf,44.0
50,127,0,110,1.0,1.0,1.0,PRC,45.0
51,217,219,143,1.0,1.0,1.0,ILM,46.0
52,94,85,58,1.0,1.0,1.0,ENTl3,47.0
53,95,147,238,1.0,1.0,1.0,SPVOmdmd,48.0
54,87,204,113,1.0,1.0,1.0,mfb,49.0
55,118,196,53,1.0,1.0,1.0,PVHap,50.0
56,99,31,240,1.0,1.0,1.0,ACB,51.0
57,199,229,136,1.0,1.0,1.0,pms,52.0
58,202,78,239,1.0,1.0,1.0,MT,53.0
59,177,255,94,1.0,1.0,1.0,IMD,54.0
60,251,248,121,1.0,1.0,1.0,ENTl6b,55.0
61,83,129,1,1.0,1.0,1.0,SPVOmdmv,56.0
62,235,49,142,1.0,1.0,1.0,mlf,57.0
63,227,63,44,1.0,1.0,1.0,PVHd,58.0
64,61,50,114,1.0,1.0,1.0,AD,59.0
65,199,170,212,1.0,1.0,1.0,pfs,60.0
66,20,210,130,1.0,1.0,1.0,LT,61.0
67,110,227,169,1.0,1.0,1.0,INC,62.0
68,172,12,193,1.0,1.0,1.0,FRP1,63.0
69,18,112,237,1.0,1.0,1.0,SPVOvl,64.0
70,37,126,224,1.0,1.0,1.0,mfbsm,65.0
71,182,59,39,1.0,1.0,1.0,PVHm,66.0
72,53,5,82,1.0,1.0,1.0,ADP,67.0
73,140,103,8,1.0,1.0,1.0,VS,68.0
